name,price,url,stone_type,stone_shape,stone_clarity,stone_color,stone_carat_weight,metal_type,metal_color,gold_karat,ring_size,source
Now + Forever Certified Princess-Cut Diamond Solitaire Engagement Ring 2 ct tw 14K Yellow Gold (I/I2),12999,https://www.kay.com/now-forever-certified-princesscut-diamond-solitaire-engagement-ring-2-ct-tw-14k-yellow-gold-ii2/p/V-161491903,Diamond,Princess-Cut,I2,I,2,Gold,Yellow,14K,7.0,Kay Jewellers
Now + Forever Certified Princess-Cut Diamond Solitaire Engagement Ring 1-1/2 ct tw 14K Yellow Gold (I/I2),7999,https://www.kay.com/now-forever-certified-princesscut-diamond-solitaire-engagement-ring-112-ct-tw-14k-yellow-gold-ii2/p/V-161490901,Diamond,Princess-Cut,I2,I,1-1/2,Gold,Yellow,14K,7.0,Kay Jewellers
Now + Forever Certified Princess-Cut Diamond Solitaire Engagement Ring 1-1/2 ct tw 14K Rose Gold (I/I2),7999,https://www.kay.com/now-forever-certified-princesscut-diamond-solitaire-engagement-ring-112-ct-tw-14k-rose-gold-ii2/p/V-161491004,Diamond,Princess-Cut,I2,I,1-1/2,Gold,Rose,14K,7.0,Kay Jewellers
Now + Forever Marquise-Cut Diamond Solitaire Engagement Ring 1/2 ct tw 14K Rose Gold (I/I2),1699,https://www.kay.com/now-forever-marquisecut-diamond-solitaire-engagement-ring-12-ct-tw-14k-rose-gold-ii2/p/V-161491408,Diamond,Marquise,I2,I,1/2,Gold,Rose,14K,7.0,Kay Jewellers
Now + Forever Marquise-Cut Diamond Solitaire Engagement Ring 1 ct tw 14K Rose Gold (I/I2),3999,https://www.kay.com/now-forever-marquisecut-diamond-solitaire-engagement-ring-1-ct-tw-14k-rose-gold-ii2/p/V-161490800,Diamond,Marquise,I2,I,1,Gold,Rose,14K,7.0,Kay Jewellers
Now + Forever Princess-Cut Diamond Solitaire Engagement Ring 3/4 ct tw 14K Rose Gold (I/I2),2099,https://www.kay.com/now-forever-princesscut-diamond-solitaire-engagement-ring-34-ct-tw-14k-rose-gold-ii2/p/V-161490608,Diamond,Princess-Cut,I2,I,3/4,Gold,Rose,14K,7.0,Kay Jewellers
Now + Forever Diamond Solitaire Ring 1/2 carat Heart-shaped 14K White Gold (I/I2),1699,https://www.kay.com/now-forever-diamond-solitaire-ring-12-carat-heartshaped-14k-white-gold-ii2/p/V-161433406,Diamond,Heart-Cut,I2,I,1/2,Gold,White,14K,7.0,Kay Jewellers
Now + Forever Certified Diamond Solitaire 2 ct Princess-cut 14K White Gold (I/I2),12999,https://www.kay.com/now-forever-certified-diamond-solitaire-2-ct-princesscut-14k-white-gold-ii2/p/V-161298904,Diamond,Princess-Cut,I2,I,2,Gold,White,14K,7.0,Kay Jewellers
Now + Forever Diamond Solitaire Engagement Ring 1 ct tw Princess-cut 14K Rose Gold (I/I2),3999,https://www.kay.com/now-forever-diamond-solitaire-engagement-ring-1-ct-tw-princesscut-14k-rose-gold-ii2/p/V-161310103,Diamond,Princess-Cut,I2,I,1,Gold,Rose,14K,7.0,Kay Jewellers
Now + Forever Diamond Solitaire Ring 1 Carat Princess-Cut 14K White Gold (I/I2),3999,https://www.kay.com/now-forever-diamond-solitaire-ring-1-carat-princesscut-14k-white-gold-ii2/p/V-161290200,Diamond,Princess-Cut,I2,I,1,Gold,White,14K,7.0,Kay Jewellers
