name,price,url,stone_type,stone_shape,stone_clarity,stone_color,stone_carat_weight,metal_type,metal_color,gold_karat,ring_size,source
GLAMIRA Bracelet Cloister,"$7,253.00",https://www.glamira.com/glamira-bracelet-cloister.html,Zirconia,Round,AAAAA,White,2.173,Gold,White,14K,,Glamira
GLAMIRA Bracelet Besessenheit,"$7,250.00",https://www.glamira.com/glamira-bracelet-besessenheit.html,Lab Grown Diamond,Marquise,VS,H,2.34,Gold,White,14K,,Glamira
GLAMIRA Bracelet Aderne,"$7,181.00",https://www.glamira.com/glamira-bracelet-aderne.html,Zirconia,Round,AAAAA,White,6.472,Gold,White,14K,,Glamira
GLAMIRA Bangle Flyinhigh,"$7,246.00",https://www.glamira.com/glamira-bangle-flyinhigh.html,Lab Grown Diamond,Round,VS,H,2.804,Gold,White,14K,,Glamira
GLAMIRA Bracelet Brandie,"$7,170.00",https://www.glamira.com/glamira-bracelet-brandie.html,Diamond,Round,VS,H,1.33,Gold,White,14K,,Glamira
GLAMIRA Bangle Awaride,"$7,019.00",https://www.glamira.com/glamira-bangle-awaride.html,Lab Grown Diamond,Pear,VS,H,1.3,Gold,White,14K,,Glamira
GLAMIRA Bracelet Jonathan,"$6,949.00",https://www.glamira.com/glamira-bracelet-jonathan.html,Black Sapphire,Round,AAA,Black,1.152,Gold,White,18K,,Glamira
GLAMIRA Bangle Isorropia,"$6,843.00",https://www.glamira.com/glamira-bangle-isorropia.html,Diamond,Baguette,VS,H,1.1,Gold,White,14K,,Glamira
GLAMIRA Bangle Rotante,"$6,801.00",https://www.glamira.com/glamira-bangle-rotante.html,Lab Grown Diamond,Round,VS,H,0.203,Gold,White,14K,,Glamira
GLAMIRA Bracelet Viltarin,"$6,862.00",https://www.glamira.com/glamira-bracelet-viltarin.html,Lab Grown Diamond,Baguette,VS,H,3.42,Gold,Yellow,14K,,Glamira
GLAMIRA Bracelet Hbers,"$6,712.00",https://www.glamira.com/glamira-bracelet-hbers.html,Zirconia,Round,AAAAA,White,1.76,Gold,White,14K,,Glamira
GLAMIRA Bangle Survili,"$6,716.00",https://www.glamira.com/glamira-bangle-survili.html,Lab Grown Diamond,Marquise,VS,H,1.4,Gold,Yellow,14K,,Glamira
GLAMIRA Bracelet Junoon,"$6,708.00",https://www.glamira.com/glamira-bracelet-junoon.html,Lab Grown Diamond,Round,VS,H,3.216,Gold,White,14K,,Glamira
GLAMIRA Bracelet Oriyg,"$6,673.00",https://www.glamira.com/glamira-bracelet-oriyg.html,Diamond,Baguette,VS,H,1.95,Gold,Rose,14K,,Glamira
GLAMIRA Bracelet Naya,"$6,658.00",https://www.glamira.com/glamira-bracelet-naya.html,Diamond,Round - Heart,VS,H,0.18,Gold,Yellow,14K,,Glamira
Women's Bangle Elicona,"$6,642.00",https://www.glamira.com/womens-bangle-elicona.html,Lab Grown Diamond,Round,VS,H,6,Gold,Yellow & White,14K,,Glamira
GLAMIRA Bracelet Liza,"$6,583.00",https://www.glamira.com/glamira-bracelet-liza.html,Diamond,Round,VS,H,3.48,Gold,White,14K,,Glamira
GLAMIRA Bracelet Hattitude,"$6,557.00",https://www.glamira.com/glamira-bracelet-hattitude.html,Zirconia,Round,AAAAA,White,0.15,Gold,White,14K,,Glamira
SYLVIE Bracelet Nolosha,"$6,422.00",https://www.glamira.com/sylvie-bracelet-nolosha.html,Lab Grown Diamond,Emerald,VS,H,5.1,Gold,Yellow,14K,,Glamira
GLAMIRA Bracelet Inserne,"$6,400.00",https://www.glamira.com/glamira-bracelet-inserne.html,Zirconia,Round,AAAAA,White,3.912,Gold,White,14K,,Glamira
SYLVIE Bracelet Viridis,"$6,406.00",https://www.glamira.com/sylvie-bracelet-viridis.html,Lab Grown Diamond,Pear,VS,H,5.1,Gold,White,14K,,Glamira
GLAMIRA Bangle Procyon,"$6,310.00",https://www.glamira.com/glamira-bangle-procyon.html,Rhodolite Garnet,Round,AAA,Violet,0.21,Gold,White,14K,,Glamira
GLAMIRA Bracelet Somnly,"$6,310.00",https://www.glamira.com/glamira-bracelet-somnly.html,Lab Grown Diamond,Round,VS,H,0.3,Gold,White,14K,,Glamira
GLAMIRA Bracelet Wanita,"$6,306.00",https://www.glamira.com/glamira-bracelet-wanita.html,Lab Grown Diamond,Marquise,VS,H,2.464,Gold,White,14K,,Glamira
SYLVIE Bangle Baliotsua,"$6,283.00",https://www.glamira.com/sylvie-bangle-baliotsua.html,Diamond,Pear,VS,H,0.108,Gold,Yellow,18K,,Glamira
GLAMIRA Bangle Pagsinta,"$6,226.00",https://www.glamira.com/glamira-bangle-pagsinta.html,Lab Grown Diamond,Round,VS,H,1.228,Gold,Yellow,14K,,Glamira
GLAMIRA Bangle Liatris,"$6,258.00",https://www.glamira.com/glamira-bangle-liatris.html,Diamond,Round,VS,H,1.2,Gold,White,18K,,Glamira
GLAMIRA Bracelet Camreen,"$6,205.00",https://www.glamira.com/glamira-bracelet-camreen.html,Diamond,Princess,VS,H,0.62,Gold,White,18K,,Glamira
Women's Bangle Submission,"$6,190.00",https://www.glamira.com/womens-bangle-submission.html,Lab Grown Diamond,Baguette,VS,H,1.8,Gold,Yellow,14K,,Glamira
GLAMIRA Bracelet Clawine Women,"$6,176.00",https://www.glamira.com/glamira-bracelet-clawine-women.html,Lab Grown Diamond,Round,VS,H,1.972,Gold,Rose,18K,,Glamira
GLAMIRA Bracelet Carisah,"$6,105.00",https://www.glamira.com/glamira-bracelet-carisah.html,Diamond,Princess,VS,H,2.2,Gold,White,14K,,Glamira
GLAMIRA Bracelet Jammie,"$6,099.00",https://www.glamira.com/glamira-bracelet-jammie.html,Diamond,Round,VS,H,1.6,Gold,Yellow,14K,,Glamira
GLAMIRA Bangle Aurigae,"$6,049.00",https://www.glamira.com/glamira-bangle-aurigae.html,Diamond,Round,VS,H,0.56,Gold,Yellow,18K,,Glamira
Women's Bracelet Nashira,"$6,059.00",https://www.glamira.com/womens-bracelet-nashira.html,Yellow Sapphire,Cushion,AA,Yellow,1.4,Gold,White & Yellow,14K,,Glamira
GLAMIRA Bangle Suhail,"$6,009.00",https://www.glamira.com/glamira-bangle-suhail.html,Zirconia,Round,AAAAA,White,0.068,Gold,White,14K,,Glamira
GLAMIRA Bracelet Ari,"$6,000.00",https://www.glamira.com/glamira-bracelet-ari.html,Diamond,Emerald,VS,H,1.088,Silver,925,,,Glamira
Women's Bracelet Linearno,"$5,970.00",https://www.glamira.com/womens-bracelet-linearno.html,Lab Grown Diamond,Baguette,VS,H,1.24,Gold,White,14K,,Glamira
GLAMIRA Bracelet Reconcy,"$5,978.00",https://www.glamira.com/glamira-bracelet-reconcy.html,Zirconia,Round,AAAAA,White,0.576,Gold,White,14K,,Glamira
